โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
1.4.12.3,,,,TaxPayer.BirthDate.Day,,,,,<rd:Day>,วัน,String,,[0…1],,,,,,
1.4.13,,,TaxPayer.Address,,,,,,<rd:Address>,ที่อยู่,Object,,[1…1],NU,,,,,
1.4.13.1,,,,TaxPayer.Address.BuildingName  ,,,,,<rd:BuildingName>,อาคาร,String,200,[0…1],NU,,,,,
1.4.13.2,,,,TaxPayer.Address.RoomNo  ,,,,,<rd:RoomNo>,เลขห้อง,String,20,[0…1],NU,,,,,
1.4.13.3,,,,TaxPayer.Address.FloorNo  ,,,,,<rd:FloorNo>,ชั้น,String,10,[0…1],NU,,,,,
1.4.13.4,,,,TaxPayer.Address.VillageName  ,,,,,<rd:VillageName>,หมู่บ้าน,String,200,[0…1],NU,,,,,
1.4.13.5,,,,TaxPayer.Address.BuildingNumber,,,,,<rd:BuildingNumber>,เลขที่,String,20,[0…1],C,R,Common_R16,,,
1.4.13.6,,,,TaxPayer.Address.Moo,,,,,<rd:Moo >,หมู่ที่,String,20,[0…1],NU,,,,,
1.4.13.7,,,,TaxPayer.Address.SoiName  ,,,,,<rd:SoiName>,ซอย,String,60,[0…1],NU,,,,,
1.4.13.8,,,,TaxPayer.Address.JunctionName,,,,,<rd:JunctionName>,แยก,String,60,[0…1],NU,,,,,
1.4.13.9,,,,TaxPayer.Address.StreetName  ,,,,,<rd:StreetName>,ถนน,String,60,[0…1],NU,,,,,
1.4.13.10,,,,TaxPayer.Address.CitySubDivisionName   ,,,,,<rd:CitySubDivisionName>,ตำบล,String,100,[0…1],C,R,Common_R16,,,
1.4.13.11,,,,TaxPayer.Address.CityName                   ,,,,,<rd:CityName>,อำเภอ,String,100,[0…1],C,R,Common_R16,,,
1.4.13.12,,,,TaxPayer.Address.CountrySubDivisionName   ,,,,,<rd:CountrySubDivisionName>,จังหวัด,String,100,[0…1],C,R,Common_R16,,,
1.4.13.13,,,,TaxPayer.Address.PostCode,,,,,<rd:PostCode >,รหัสไปรษณีย์,String,5,[0…1],C,R,Common_R16,,,
1.4.14,,,TaxPayer.Contact,,,,,,<rd:Contact>,ข้อมูลติดต่อ,Object,,[0…1],C,C,,,,
1.4.14.1,,,,TaxPayer.Contact.TelephoneNumber,,,,,<rd:TelephoneNumber>,ข้อมูลหมายเลขโทรศัพท์,Object,,[0…1],C,C,,,,
1.4.14.1.1,,,,,TaxPayer.Contact.TelephoneNumber.Number,,,,<rd:Number>,หมายเลขโทรศัพท์,String,30,[0…1],C,C,,,,
1.4.14.2,,,,TaxPayer.Contact.Website,,,,,<rd:Website>,ชื่อเว็บไซต์,String,200,[0…1],C,C,,,,
1.4.14.3,,,,TaxPayer.Contact.Email,,,,,<rd:Email>,อีเมล,String,200,[0…1],NU,C,,,,
1.5,,TaxForm,,,,,,,<rd:TaxForm>,ข้อมูลทั่วไปของแบบภาษี,Object,,[1…1],,,,,,
1.5.1,,,TaxForm.TaxPeriod,,,,,,<rd:TaxPeriod>,ข้อมูลช่วงเวลาการยื่นภาษี,Object,,[1…1],,,,,,
1.5.1.1,,,,TaxForm.TaxPeriod.TaxMonth,,,,,<rd:TaxMonth>,เดือนที่ยื่น,Number,,[0…1],C,C,Common_R8,,,
1.5.1.2,,,,TaxForm.TaxPeriod.TaxYear,,,,,<rd:TaxYear>,ปีที่ยื่น,Number,,[0…1],C,C,Common_R8,,,
1.5.1.3,,,,TaxForm.TaxPeriod.StartDate,,,,,<rd:StartDate>,วันที่เริ่มรอบปัญชี (YYYY-MM-DD),Date,,[0…1],C,C,Common_R8,,,
1.5.1.4,,,,TaxForm.TaxPeriod.EndDate,,,,,<rd:EndDate>,วันที่สิ้นสุดรอบบัญชี (YYYY-MM-DD),Date,,[0…1],C,C,Common_R8,,,
1.5.2,,,TaxForm.Filing ,,,,,,<rd:Filing> ,ข้อมูลลำดับการยื่นแบบ,Object,,[1…1],,,,,,
1.5.2.1,,,,TaxForm.Filing .FilingType,,,,,<rd:FilingType>,ลำดับที่การยื่นแบบ,String,1,[1…1],,,Common_R9,,,
1.5.2.2,,,,TaxForm.Filing.FilingNo,,,,,<rd:FilingNo>,ครั้งที่ยื่นแบบ,Number,,[1…1],,,Common_R9,,,
1.5.2.3,,,,TaxForm.Filing .FilingCase,,,,,<rd:FilingCase>,ประเภทการนำส่งภาษี,String,1,[0…1],C,C,Common_R17,,,
1.5.2.4,,,,TaxForm.Filing.InTime,,,,,<rd:InTime>,"ช่วงเวลาการยื่นแบบ(ภายในกำหนด, เกินกำหนด)",String,1,[0…1],NU,C,Common_R18,,,
1.5.2.5,,,,TaxForm.Filing.IncludeNote,,,,,<rd:IncludeNote>,เพิ่มเติม สำหรับ ภม 60,Object,,[0…1],C,C,Common_R19,,,
1.5.2.5.1,,,,,TaxForm.Filing.IncludeNote.FilingNo,,,,<rd:FilingNo>,ครั้งที่ยื่นแบบ กรณีอ้างอิงยื่นแบบปกติ (ภม60),String,1,[0…1],C,C,,,,
1.5.2.5.2,,,,,TaxForm.Filing.IncludeNote.Date,,,,<rd:Date>,วันที่ได้รับมรดกเพิ่มเติม หรือ วันเดือนปีของการยื่นแบบเพิ่มเติมก่อนหน้า (ภม60),Date,,[0…1],C,C,Common_R20,,,
1.5.3,,,Consolidation Fling Status,,,,,,<rd:ConsolidatitonFilingStatus>,สถานะการยื่นแบบรวมสาขา 0:แยกยื่น 1:ยื่นรวม,Number,,[0…1],C,C,,,,
1.5.4,,,Additional Referenced Document,,,,,,<rd:AdditionalReferencedDocument>,เอกสารอ้างอิงเพิ่มเติม,Object,,[0…n],C,C,,,,
1.5.4.1,,,,IssueAssignedId,,,,,<rd:IssueAssignedId>,เลขที่เอกสารอ้างอิง,String,20,[0…1],C,C,,,,
1.5.4.2,,,,ReferenceTypeCode,,,,,<rd:ReferenceTypeCode>,รหัสประเภทเอกสารอ้างอิง,String,20,[0…1],C,C,,,,
1.6,,TaxFormDetail,,,,,,,<rd:TaxFormDetail>,ข้อมูลการกรอกแบบภาษี,Object,,[1…1],,,,,,
1.6.1,,,,TaxFormDetail.statusOfCompaniesOrJuristicPartnerships,,,,,<rd:StatusOfCompaniesOrJuristicPartnerships>,สถานภาพของบริษัทหรือห้างหุ้นส่วนนิติบุคคล,Object,,[1…1],,,,,,
1.6.1.1,,,,,TaxFormDetail.statusOfCompaniesOrJuristicPartnerships.statusOfCompany,,,,<rd:StatusOfCompany>,ข้อมูลสถานภาพของบริษัทหรือห้างหุ้นส่วนนิติบุคคลใบหน้า เลือกได้ข้อ 1 - 6,Number,1,[1…1],,,,,,
1.6.1.2,,,,,TaxFormDetail.statusOfCompaniesOrJuristicPartnerships.statusOfOtherNonCoreBusinessId,,,,<rd:StatusOfOtherNonCoreBusinessId>,ข้อมูลใบแนบสถานภาพของบริษัทหรือห้างหุ้นส่วนนิติบุคคล,Number,2,[0…1],C,C,PND50_R01,,,
1.6.2,,,,TaxFormDetail.formFilingType,,,,,<rd:FormFilingType>,"สถานะการกรอก 1 = กรณีเป็นบริษัทฯ ที่ได้รับการส่งเสริมการลงทุน (ได้รับการยกเว้นภาษีเงินได้) หรือบริษัทฯ ที่ได้รับยกเว้นภาษีเงินได้จากกำไรสุทธิตามกฎหมาย, 2 = กรณีทั่วไป กรณีลดอัตรา หรือกรณีเป็นบริษัทฯ ที่ได้รับการส่งเสริมการลงทุน (ได้รับการลดอัตราภาษีเงินได้), 3 = กรณีเป็นบริษัทฯ ที่ประกอบทั้งกิจการที่ได้รับการยกเว้นภาษีเงินได้และกิจการที่ต้องเสียภาษีเงินได้",Number,1,[1…1],,,PND50_R02,,,
1.6.3,,,,TaxFormDetail.operationOfBusiness,,,,,<rd:OperationOfBusiness>,ข้อมูลกิจการที่ประกอบ ,Object,,[1…1],,,PND50_R03,,,
1.6.3.1,,,,,TaxFormDetail.operationOfBusiness.Detail,,,,<rd:Detail>,กิจการที่ประกอบ ,Object,,[1…3],,,PND50_R03,,,
1.6.3.1.1,,,,,,TaxFormDetail.operationOfBusiness.Detail.isicCode,,,<rd:IsicCode>,รหัส ISIC,String,6,[1…1],,,PND50_R03,,,
1.6.3.1.2,,,,,,TaxFormDetail.operationOfBusiness.Detail.operationName,,,<rd:OperationName>,ชื่อกิจการทีประกอบ,String,200,[1…1],NU,,PND50_R03,,,
1.6.4,,,,TaxFormDetail.TaxComputation,,,,,<rd:TaxComputation>,เงินได้ที่ต้องเสียภาษี และการคำนวณภาษี,Object,,[1…1],,,,,,
1.6.4.1,,,,,TaxFormDetail.TaxComputation.TaxComputationType,,,,<rd:TaxComputationType>,"ประเภทการคำนวณภาษี 0 = ภาษีศูนย์, 1 = กำไรสุทธิ, 2 = ขาดทุนสุทธิ, 3 = รายรับก่อนหักรายจ่าย (กรณีได้รับอนุมัติจากกรมสรรพากรให้เสียภาษีจากยอดรายรับ)",Number,1,[1…1],,,,,,
1.6.4.2,,,,,TaxFormDetail.TaxComputation.NetProfit,,,,<rd:NetProfit>,กำไรสุทธิ,Object,,[1…1],,,,,,
1.6.4.2.1,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate20Percent,,,<rd:Rate20Percent>,กรณีทั่วไป,Object,,[0…1],,,,,,
1.6.4.2.1.1,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate20Percent.Amount,,<rd:Amount>,จำนวนเงินที่ต้องเสียภาษี,"Decimal (15, 2)",16,[0…1],C,C,PND50_R04,,,
1.6.4.2.1.2,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate20Percent.computedTax,,<rd:ComputedTax>,ภาษีที่คำนวณได้,"Decimal (15, 2)",16,[0…1],C,C,PND50_R04,,,
1.6.4.2.1.3,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate20Percent.Select,,<rd:Select>,"เลือกอัตรา 0 = ไม่เลือก, 1 = เลือก",Number,1,[0…1],C,C,,,,
1.6.4.2.2,,,,,,TaxFormDetail.TaxComputation.NetProfit.taxRateReduction,,,<rd:TaxRateReduction>,ลดอัตราภาษี,Object,,[0…1],,,,,,
1.6.4.2.2.1,,,,,,,TaxFormDetail.TaxComputation.NetProfit.taxRateReduction.reductionId,,<rd:ReductionId>,"ประเภทลดอัตราภาษี 1 = SMEs, 2 = 15%, 3 = 10%, 4 = 8%, 5 = 5%, 99 = อื่น ๆ",Number,1,[0…1],C,C,PND50_R05,,,
1.6.4.2.2.2,,,,,,,TaxFormDetail.TaxComputation.NetProfit.taxRateReduction.OtherReductionRate,,<rd:OtherReductionRate>,ค่าร้อยละ อัตราภาษี เมื่อเลือก อื่น ๆ,"Decimal (4,2)",4,[0…1],C,C,PND50_R05,,,
1.6.4.2.2.3,,,,,,,TaxFormDetail.TaxComputation.NetProfit.taxRateReduction.Amount,,<rd:Amount>,จำนวนเงินที่ต้องเสียภาษี,"Decimal (15, 2)",15,[0…1],C,C,PND50_R05,,,
1.6.4.2.2.4,,,,,,,TaxFormDetail.TaxComputation.NetProfit.taxRateReduction.computedTax,,<rd:ComputedTax>,ภาษีที่คำนวณได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R05,,,
1.6.4.2.3,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate3Percent,,,<rd:Rate3Percent>,อัตราภาษีร้อยละ 3,Object,,[0…1],C,C,PND50_R06,,,
1.6.4.2.3.1,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate3Percent.Amount,,<rd:Amount>,จำนวนเงินที่ต้องเสียภาษี,"Decimal (15, 2)",15,[0…1],C,C,PND50_R06,,,
1.6.4.2.3.2,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate3Percent.computedTax,,<rd:ComputedTax>,ภาษีที่คำนวณได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R06,,,
1.6.4.2.3.3,,,,,,,TaxFormDetail.TaxComputation.NetProfit.Rate3Percent.Select,,<rd:Select>,"เลือกอัตรา 0 = ไม่เลือก, 1 = เลือก",Number,1,[0…1],C,C,PND50_R06,,,
1.6.4.3,,,,,TaxFormDetail.TaxComputation.TaxationOnGrossReceipts,,,,<rd:TaxationOnGrossReceipts>,รายรับก่อนหักรายจ่าย (กรณีได้รับอนุมัติจากกรมสรรพากรให้เสียภาษีจากยอดรายรับ),Object,,[0…1],C,C,PND50_R07,,,
1.6.4.3.1,,,,,,TaxFormDetail.TaxComputation.TaxationOnGrossReceipts.Amount,,,<rd:Amount>,จำนวนเงินที่ต้องเสียภาษี,"Decimal (15, 2)",15,[0…1],C,C,PND50_R07,,,
1.6.4.3.2,,,,,,TaxFormDetail.TaxComputation.TaxationOnGrossReceipts.computedTax,,,<rd:ComputedTax>,ภาษีที่คำนวณได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R07,,,
1.6.4.4,,,,,TaxFormDetail.TaxComputation.NetLoss,,,,<rd:NetLoss>,ขาดทุนสุทธิ,Object,,[0…1],C,C,PND50_R08,,,
1.6.4.4.1,,,,,,TaxFormDetail.TaxComputation.NetLoss.Amount,,,<rd:Amount>,จำนวนเงินที่ขาดทุนสุทธิ,"Decimal (15, 2)",15,[0…1],C,C,PND50_R08,,,
1.6.4.4.2,,,,,,TaxFormDetail.TaxComputation.NetLoss.computedTax,,,<rd:ComputedTax>,ภาษีที่คำนวณได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R08,,,
1.6.4.5,,,,,TaxFormDetail.TaxComputation.totalAmountIndicator,,,,<rd:TotalAmountIndicator>,"ดัชนีรวมจำนวนเงิน  0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[1…1],,,,,,
1.6.4.6,,,,,TaxFormDetail.TaxComputation.totalAmount,,,,<rd:TotalAmount>,รวมจำนวนเงิน,"Decimal (15, 2)",15,[1…1],,,PND50_R09,,,
1.6.4.7,,,,,TaxFormDetail.TaxComputation.totalComputedTax,,,,<rd:TotalComputedTax>,รวมภาษีที่คำนวณได้,"Decimal (15, 2)",15,[1…1],,,PND50_R10,,,
1.6.4.8,,,,,TaxFormDetail.TaxComputation.TaxDeduction,,,,<rd:TaxDeduction>,รายการหัก,Object,,[0…1],,,,,,
1.6.4.8.1,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.exemptionUnderRoyalDecree18Or463,,,<rd:ExemptionUnderRoyalDecree18Or463>,ภาษีเงินได้ที่ได้รับยกเว้นตาม พระราชกฤษฎีกาฯ (ฉบับที่ 18) หรือ (ฉบับที่ 463),"Decimal (15, 2)",15,[0…1],,,,,,
1.6.4.8.2,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.exemptionUnderRoyalDecree300,,,<rd:ExemptionUnderRoyalDecree300>,ภาษีเงินได้ที่รับยกเว้นตาม พระราชกฤษฎีกาฯ (ฉบับที่ 300),"Decimal (15, 2)",15,[0…1],,,,,,
1.6.4.8.3,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.whtTaxAndPaidTaxByOthers,,,<rd:WhtTaxAndPaidTaxByOthers>,ภาษีเงินได้ หัก ณ ที่จ่าย และภาษีที่บุคคลอื่นเสียแทน,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.4.8.4,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.taxPaidUnderPnd51,,,<rd:TaxPaidUnderPnd51>,ภาษีที่ชำระแล้วตามแบบ ภ.ง.ด. 51,"Decimal (15, 2)",15,[0…1],,,,,,
1.6.4.8.5,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.taxRateReductionOf50PercentFromNormalRate,,,<rd:TaxRateReductionOf50PercentFromNormalRate>,ภาษีในส่วนที่ได้รับลดหย่อนอัตราไม่เกินร้อยละ  50 ของอัตราปกติ,"Decimal (15, 2)",15,[0…1],C,C,PND50_R11,,,
1.6.4.8.6,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.taxPaidUnderPnd50,,,<rd:TaxPaidUnderPnd50>,ภาษีที่ชำระแล้วตามแบบ ภ.ง.ด. 50 (กรณีที่ยื่นเพิ่มเติม),"Decimal (15, 2)",15,[0…1],C,C,PND50_R12,,,
1.6.4.8.7,,,,,,TaxFormDetail.TaxComputation.TaxDeduction.totalTaxDeduction,,,<rd:TotalTaxDeduction>,รวมหัก,"Decimal (15, 2)",15,[0…1],C,C,PND50_R13,,,
1.6.4.9,,,,,TaxFormDetail.TaxComputation.netTaxIndicator,,,,<rd:NetTaxIndicator>,"สถานะ - คงเหลือภาษีที่ 0 = ไม่มีภาษีต้องชำระ, 1 = มีภาษีต้องชำระ, 2 = มีภาษีชำระไว้เกิน",Number,1,[1…1],,,PND50_R14,,,
1.6.4.10,,,,,TaxFormDetail.TaxComputation.netTax,,,,<rd:NetTax>,จำนวนเงินคงเหลือภาษี,"Decimal (15, 2)",15,[1…1],,,PND50_R15,,,
1.6.4.11,,,,,TaxFormDetail.TaxComputation.surcharge,,,,<rd:Surcharge>,เงินเพิ่ม,"Decimal (15, 2)",15,[1…1],,,,,,
1.6.4.12,,,,,TaxFormDetail.TaxComputation.totalTaxIndicator,,,,<rd:TotalTaxIndicator>,"สถานะ - รวมภาษีที่ 0 = ไม่มีภาษีต้องชำระ, 1 = มีภาษีต้องชำระ, 2 = มีภาษีชำระไว้เกิน","Decimal (15, 2)",15,[1…1],,,,,,
1.6.4.13,,,,,TaxFormDetail.TaxComputation.totalTaxAmount,,,,<rd:TotalTaxAmount>,จำนวนเงินรวมภาษี,"Decimal (15, 2)",15,[1…1],,,,,,
1.6.5,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss,,,,,<rd:RevenueExpenseAndNetProfitOrLoss>,รายได้ รายจ่าย และกำไรหรือขาดทุนสุทธิ,Object,,[1…1],R,R,,,,
1.6.5.1,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no1_revenue,,,,<rd:No1_Revenue>,รายได้ตรงจากการประกอบกิจการ,Object,,[1…1],R,R,,,,
1.6.5.1.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no1_revenue.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R16,,,
1.6.5.1.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no1_revenue.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R17,,,
1.6.5.1.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no1_revenue.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R18,,,
1.6.5.2,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no2_lessitem3,,,,<rd:No2_Lessitem3>,หัก ต้นทุนขายหรือรายจ่ายเพื่อคำนวณกำไรขั้นต้น มีค่าก็ต่อเมื่อ รายการที่ 3 ข้อ 9 มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.5.2.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no2_lessitem3.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R19,,,
1.6.5.2.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no2_lessitem3.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R20,,,
1.6.5.2.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no2_lessitem3.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R21,,,
1.6.5.3,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss,,,,<rd:No3_GrossProfitOrLoss>,กำไร/ขาดทุนขั้นต้น,Object,,[1…1],R,R,,,,
1.6.5.3.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.3.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R23,,,
1.6.5.3.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.liablrIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.3.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R24,,,
1.6.5.3.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.3.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no3_grossProfitOrLoss.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R25,,,
1.6.5.4,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no4_Item5,,,,<rd:No4_Item5>,บวก รายได้อื่น จะมีค่าก็ต่อเมื่อรายการที่ 5 ข้อ 7 มีข้อมูล,Object,,[0…1],C,C,,,,
